WE|ACTV|CROP 北方地区要抓住晴好天气完成秋收扫尾工作，做好粮食通风晾晒储藏工作，防止发芽霉变
CROP 黄淮、江淮、江汉大部处于抽穗至开花期
CROP 西南地区大部处于乳熟成熟期
CROP 监测结果表明，全国冬小麦一、二类苗占比分别为21%、74%，一类苗与上周相比减少3个百分点，二类苗增加1个百分点
CROP 西南地区和长江中下游大部油菜处于绿熟至成熟期阶段
CROP 全国油菜一、二类苗占比分别为20%、80%，一类苗与上周相比增加9个百分点
CROP 华南大部双季早稻处于分蘖期，部分进入拔节期，海南早稻大部处于抽穗灌浆期
CROP 江南大部、广西北部处于移栽返青期
CROP 全国双季早稻一、二类苗占比分别为21%、77%
CROP 东北地区一季稻处于播种育秧阶段
CROP 西南大部一季稻处于三叶期，部分进入移栽期
CROP 江汉、江淮处于播种出苗期
CROP 西南地区东部春玉米处于三叶至七叶期，广西中西部处于七叶至拔节期，部分进入开花吐丝期
CROP 华北、东北处于播种出苗期，西北地区处于播种出苗至三叶期
CROP 西北地区、内蒙古河套地区春小麦大部处于三叶至分蘖期，部分进入拔节期
CROP 内蒙古东南部、黑龙江西部春小麦处于播种出苗至三叶期
CROP 新疆、黄河流域、长江流域棉花处于播种出苗期，新疆部分进入第三真叶期
ENV 三、土壤墒情分析5月2日土壤墒情监测结果表明（图4）：测墒区大部20厘米土壤相对湿度在60%以上，但内蒙古中部、陕西南部、河南西部、四川南部和云南中部和南部等地部分土壤处于轻度或中度缺墒状态
ENV 本周土壤过湿的监测站点比例较上周增加了2.1个百分点，较上年同期多2.5个百分点
ENV 墒情适宜站点比例较上周增加1.8个百分点，较上年同期少3.2个百分点
ENV 缺墒站点比例较上周减少3.9个百分点，较上年同期增加0.7个百分点（表1）
WE 但安徽北部、江苏北部等地雨日有3～4天，加之日照偏少3～5成，利于小麦赤霉病的发生发展
WE 江南、华南：江南、华南大部降雨量有50～100毫米，利于库塘蓄水
 五、主要农业气象灾害监测与影响评估本周全国农区无明显农业气象灾害
WE 六、未来一周天气及关注重点预计未来一周，4-7日，受冷空气影响，长江中下游及以北大部地区先后有4～6级偏北风，气温下降4～8℃，内蒙古东部、东北地区等地的部分地区降温幅度可达10℃以上
WE 预计5月4日夜间至6日，西北地区东部有中到大雨，局地暴雨
WE 预计5月4-8日，江南、华南、江汉、西南地区东部等地将有较强降雨，江南中南部、华南、贵州东部和南部等地的部分地区有大雨或暴雨，局地大暴雨，并将伴有短时强降水、雷暴大风或冰雹等强对流天气
ACTV 北方春播区应抓住晴好天气和适宜墒情，抓紧完成春播扫尾工作
ACTV 东北地区要做好水稻秧苗管理，加强棚内温湿度调控，注意培育壮秧
ACTV 设施农业和稻区应做好大风降温的防范工作
ACTV 辽宁西部、吉林西部墒情偏差地区应积极进行造墒播种
ACTV 西南地区要密切关注天气变化，适时收获已成熟的小麦和油菜，并加强春播作物田间管理
ACTV 另外，冬小麦主产区小麦赤霉病、蚜虫等病虫害进入危害关键阶段，各地要加强监测、密切防范
 辽宁西部、吉林西部表层墒情持续偏差不利春播
WE 一、主要天气特点本周（5月2日至5月8日），西北地区、江南、华南、西南地区东部气温较常年同期偏低1～4℃（图1）
WE 上述地区降水量普遍有10～50毫米，西北地区东南部、江南南部、华南东部有50～100毫米，广东大部、海南东部达100～250毫米（图2），大部降水较常年同期偏多5成至4倍，降水量≥0.1毫米天数普遍有3～7天
WE 大部日照较常年同期偏少5成以上（图3）
WE 华北、黄淮、江淮、江汉大部地区气温接近常年同期，内蒙古东部、东北地区大部、西南地区南部平均气温较常年偏高1～4℃
WE 上述大部地区降水偏少8成以上，日照接近常年同期或偏多3～5成
CROP 二、作物生长发育状况本周，新疆西部、西北地区东南部、华北南部、黄淮、江淮、江汉大部冬小麦处于开花期，新疆北部、甘肃大部、山西中部、河北中部等地处于孕穗至抽穗期
CROP 西南地区大部处于乳熟成熟期
CROP 监测结果表明，全国冬小麦一、二类苗占比分别为22%、73%，一类苗与上周相比增加1个百分点，二类苗减少1个百分点
CROP 西南地区和长江中下游大部油菜处于绿熟至成熟阶段
ACTV 西南部分地区已成熟收获
CROP 华南大部双季早稻处于分蘖期，部分进入拔节期，海南早稻大部处于孕穗至抽穗灌浆期
CROP 江南大部处于返青分蘖期
CROP 全国双季早稻一、二类苗占比分别为18%、80%
CROP 东北地区一季稻处于出苗至三叶期
CROP 西南大部一季稻处于三叶至移栽返青期
CROP 江汉、江淮处于播种出苗期
CROP 西南地区东部春玉米处于三叶至七叶期，广西中西部处于拔节至开花吐丝期
CROP 华北、东北处于播种出苗期，西北地区处于播种出苗至三叶期
CROP 西北地区、内蒙古春小麦大部处于分蘖至拔节期
CROP 黑龙江西部春小麦处于播种出苗期
CROP 新疆、黄河流域、长江流域棉花处于播种出苗期，新疆部分进入第三真叶期
CROP 华北、黄淮花生处于播种出苗期
CROP 江南南部、华南处于分枝至开花下针期
CROP 西北地区、华北北部、内蒙古等地马铃薯处于播种出苗期
CROP 西南地区大部处于分枝期，部分进入花序形成和开花期
 东北地区大豆处于播种阶段
CROP 江南进入第三真叶期
ENV 三、土壤墒情分析5月9日土壤墒情监测结果表明（图4）：测墒区大部20厘米土壤相对湿度在60%～90%，墒情适宜
ENV 但内蒙古中部、辽宁西部、山西西部、河北中部、河南西部、安徽北部、四川南部和云南中部和南部等地部分土壤处于轻度或中度缺墒状态
ENV 陕西西南部、湖南、江西南部、广东、福建南部等地土壤处于过湿状态
ENV 本周土壤过湿的监测站点比例较上周增加了4个百分点，较上年同期多1.1个百分点
ENV 墒情适宜站点比例较上周减少2.2个百分点，较上年同期少1个百分点
ENV 缺墒站点比例较上周减少1.7个百分点，较上年同期持平（表1）
 五、主要农业气象灾害监测与影响评估本周全国大部农区无明显农业气象灾害
WE 预计未来一周，东北地区降水有所增多，累计降水量普遍有5～15毫米，东北地区南部和西北部、内蒙古东北部有20～45毫米，主要降水时段为12-13日和16-17日
WE 预计未来一周，江淮、江南大部、西南地区东部等地雨日多，主要降雨时段在12-13日、16-17日
WE 上述大部地区降水量有40～80毫米，其中江南北部、贵州东北部等地有100～150毫米，上述部分地区伴有强对流天气
ACTV 东北地区已临近最后的适播期，辽宁西部、吉林西部等地应抓住有利时机做好人工增雨作业，及时播种春玉米、大豆
ACTV 江南、西南地区东部要抓住降水间隙，及时抢收已成熟的冬小麦、油菜
ACTV 另外，冬小麦主产区小麦赤霉病、蚜虫等病虫害进入危害关键阶段，各地要加强监测、密切防范
WE 但需防范局地强对流的不利影响
WE 一、主要天气特点本周（5月9日至5月15日），内蒙古东部、东北地区、华北东部、黄淮、江淮、西南地区南部气温较常年同期偏高1～4℃（图1），西北地区中部、江南西部、西南地区东部等地偏低1～2℃，其余大部地区接近常年同期
WE 内蒙古东部、东北地区南部和西北部降水量有10～25毫米，西南地区东部、江南北部、江汉东部、江淮西南部降水量普遍有25～100毫米，局部地区达100～250毫米（图2），上述地区大部降水较常年同期偏多5成至2倍
WE 其余大部地区降水量不足10毫米，较常年同期偏少5成以上（图3）
 全国大部农区日照接近常年同期
 东北地区东部、西南地区南部较常年同期偏多3～5成，内蒙古东北部、西南地区东部、华南西部偏少3～8成
WE 西北地区、华北北部、内蒙古中西部多大风沙尘天气，部分地区阵风达7～9级
CROP 二、作物生长发育状况本周，新疆大部、西北地区东南部、华北、黄淮大部、江淮北部大部冬小麦处于开花期，陕西关中、河南西南部、江淮南部、江汉大部处于乳熟期
CROP 西南地区大部处于乳熟成熟期，部分地区已成熟收获
CROP 监测结果表明，全国冬小麦一、二类苗占比分别为22%、75%，一类苗与上周持平，二类苗增加2个百分点
CROP 西南地区和长江中下游大部油菜处于绿熟至成熟阶段，部分地区已成熟收获
CROP 华南南部双季早稻处于拔节期，海南早稻大部处于抽穗灌浆至乳熟期
 江南、华南北部处于分蘖期
CROP 全国双季早稻一、二类苗占比分别为17%、81%
CROP 东北地区一季稻处于出苗至三叶期，部分进入移栽期
CROP 西南大部一季稻处于三叶至移栽返青期，部分进入分蘖期
CROP 江汉、江淮处于播种出苗期
CROP 全国一季稻一、二类苗占比分别为30%、69%
CROP 西南地区东部春玉米处于三叶至七叶期，部分地区进入拔节期，广西中西部处于拔节至开花吐丝期
CROP 东北地区处于播种出苗期，华北、西北地区大部处于出苗至三叶期
CROP 西北地区、内蒙古春小麦大部处于分蘖至拔节期，部分进入孕穗期
CROP 黑龙江西部春小麦处于播种出苗至三叶期
CROP 新疆、黄河流域、长江流域棉花处于出苗至第三真叶期，新疆部分进入第五真叶期
CROP 华北、黄淮花生处于播种出苗至分枝期
CROP 江南南部、华南处于分枝至开花下针期
CROP 西北地区、华北北部、内蒙古等地马铃薯处于播种出苗期
CROP 西南地区大部处于花序形成至开花期
 东北地区大豆处于播种阶段
CROP 江南处于第三真叶至分枝期
ENV 三、土壤墒情分析5月16日土壤墒情监测结果表明（图4）：测墒区大部20厘米土壤相对湿度为60%～90%，墒情适宜
ENV 但内蒙古中部、辽宁西南部和东南部、山西西部、河北中部、河南西部、安徽北部、四川南部及云南中部和南部等地部分土壤处于轻度或中度缺墒状态
ENV 陕西西南部、湖南、江西南部、广东、四川盆地等地土壤处于过湿状态
ENV 本周土壤过湿的监测站点比例较上周减少了1.4个百分点，较上年同期多1.7个百分点
ENV 墒情适宜站点比例较上周减少1.4个百分点，较上年同期少3.6个百分点
ENV 缺墒站点比例较上周增多2.8个百分点，较上年同期增加1.9个百分点（表1）
WE 西北、华北、黄淮、江淮、江汉：本周，西北地区东南部、山西大部、河北、河南、山东、苏皖两省中北部、湖北大部气温正常或偏高1～3℃，日照接近常年同期
WE 江南北部降水量有50～100毫米，利于库塘蓄水
 五、主要农业气象灾害监测与影响评估本周全国大部农区无明显农业气象灾害
WE 预计未来一周，西南地区东部部分地区降雨偏多
ACTV 七、农业生产建议东北地区要做好田间管理，抓住降水的有利时机及时查苗补种，并做好农业蓄水工作
ACTV 长江中下游地区抓住晴好天气收获成熟油菜
ACTV 截至6月6日，全国冬小麦收获1.5亿亩，其中河南、安徽过7成，江苏过3成，陕西近3成，山西、山东过1成，河北开始收获
WE 云南中西部降水偏少旱情持续
WE 一、主要天气特点本周（5月30日至6月5日），华北、黄淮和江淮气温较常年同期偏高1～4℃，其中华北南部、黄淮中西部出现了3～4天日最高气温≥35℃高温天气
WE 全国其余大部农区气温接近常年或偏低（图1），其中东北地区北部、内蒙古东部、华南西部等地偏低1～2℃
WE 全国大部农区出现10毫米以上降水，其中华北和黄淮西部、西北地区东部、江汉、四川盆地北部、华南等地降水量有25～100毫米，广东、福建部分地区达100～250毫米（图2），上述地区大部较常年同期偏多5成至2倍
WE 四川盆地大部日照较常年同期偏多5成至2倍，华南中西部偏少2～8成，全国其余大部农区日照正常（图3）
CROP 二、作物生长发育状况本周，新疆大部、西北地区东部、华北中部、山东东部冬小麦处于开花灌浆期，陕西关中、华北南部、黄淮大部处于成熟收获期
ACTV 西南地区、湖北小麦收获完毕
CROP 华南双季早稻大部处于孕穗抽穗期，海南早稻处于抽穗至乳熟期
CROP 江南、华南北部处于拔节孕穗期，部分地区仍处于分蘖期
CROP 苗情监测结果表明，全国双季早稻一、二类苗占比分别为20%、76%
CROP 东北地区一季稻处于移栽返青期，部分进入分蘖期
CROP 西南大部一季稻处于移栽返青至分蘖期
CROP 江汉、江淮大部处于三叶至返青期
CROP 全国一季稻一、二类苗占比分别为26%、72%
CROP 西南地区东部春玉米处于拔节至吐丝期
CROP 广西玉米处于吐丝至乳熟期
CROP 东北地区、华北处于三叶至七叶期
CROP 西北地区大部处于七叶期
CROP 新疆、黄河流域、长江流域棉花处于第三真叶至现蕾期
CROP 东北地区大豆处于出苗至第三真叶期
CROP 江南处于开花结荚期
CROP 西北地区、内蒙古春小麦大部处于孕穗至开花期
CROP 黑龙江西部春小麦处于分蘖至拔节期
CROP 华北、黄淮、江汉、江南北部花生处于分枝至开花期
 江南南部、华南处于下针期
CROP 西北地区东部、华北北部、内蒙古、东北地区等地马铃薯处于播种出苗至分枝期
CROP 西南地区大部处于开花期
CROP 西南地区夏玉米处于播种至七叶期，黄淮处于播种期
ENV 三、土壤墒情分析6月6日20厘米土壤墒情监测结果表明（图4）：内蒙古中部、陕西中北部、山西、河北中南部、河南西北部、云南北部等地土壤处于缺墒状态
ENV 湖南大部、江西南部、广东、福建西南部和东北部、四川盆地大部等地土壤处于过湿状态，其余测墒区大部土壤墒情基本适宜
ENV 本周土壤缺墒站点比例较上周增多3.0个百分点，较上年同期多6.3个百分点
ENV 过湿站点比例较上周减少2.1个百分点，较上年同期少1.7个百分点
ENV 墒情适宜站点比例较上周减少0.9个百分点，较上年同期少4.7个百分点（表1）
WE 西北、华北、黄淮：2-5日，华北南部、黄淮中西部等地出现了日最高气温≥35℃的高温天气，其中河北南部、山东西部和北部、河南中西部等地的部分地区最高温度达37～39℃
WE 5日，江汉东部出现大暴雨，局地遭受暴雨洪涝灾害
WE 云南中西部降水不足10毫米，农业干旱持续
WE 五、主要农业气象灾害监测与影响评估暴雨、洪涝：本周，江汉东部出现强降水，湖北十堰、宜昌、随州等地遭受暴雨洪涝灾害，导致部分香菇、白芨等简易大棚倒塌受损，玉米、芝麻等作物受淹
WE 风雹：4日受局地强对流天气影响，山东聊城、烟台、菏泽等地出现风雹灾害，造成部分小麦倒伏、苹果、樱桃等经济林果落果（图5）
 截至6月6日，全国冬小麦已收获1.5亿亩
ACTV 其中，河南、安徽过7成，江苏过3成，陕西近3成，山西、山东过1成，河北开始收获
WE 七、未来一周天气及关注重点预计未来一周，江南、华南及西南地区东部多强降雨过程，局地还有短时强降水、雷暴大风等强对流天气，累计降雨量较常年同期偏多3～7成，局部偏多1倍以上
WE 但中西部降水仍偏少，旱情持续（图7）
ACTV 八、农业生产建议各地要做好主汛期暴雨、洪涝、大风冰雹等灾害性天气的防御工作，减轻对农业生产的不利影响，同时注意保障田间作业人员的人身安全
ACTV 北方冬麦区已进入夏收关键时段，各地要利用晴好天气及时抢收晾晒成熟冬小麦
ACTV 麦收完成的地区要及时腾茬整地、适时播种夏玉米等作物，河北南部部分墒情偏差地区要造墒播种或播后及时浇水保苗
WE 周内，江南、华南、西南地区东部等地多强降水，多地遭受涝渍灾害，水稻、瓜果等受灾
ACTV 截至6月13日，全国冬小麦收获近8成
ACTV 其中，河南、安徽收获完毕，江苏过8成，陕西过8成，山西、山东过6成，河北过5成
 夏玉米机播面积近1.1亿亩，水稻栽插面积4788万亩
WE 预计未来一周，南方仍多强降水，江南、华南北部及四川盆地东南部、贵州等地强降水过程频繁且与前期降水偏多区域重合，将导致部分地区涝渍灾害加重
WE 预计21-22日，云南将出现较强降雨过程，中西部旱情有望得到缓和
WE 一、主要天气特点本周（6月6日至6月12日），除新疆西部气温较常年偏低1～2℃以外，全国其他大部地区气温接近常年或偏高1～4℃（图1）
WE 全国大部农区出现了10毫米以上降水，吉林西部、黄淮南部、江淮、江汉及其以南地区降水量大于25毫米，其中贵州中部、湖南南部、江西大部、福建西部和广东东部等地雨量达100～250毫米（图2），上述地区大部较常年同期偏多5成至2倍
WE 江南大部、华南北部、西南地区东部雨日普遍有5～6天，日照较常年同期偏少2～8成，全国其余大部农区日照正常或偏多2～8成（图3）
CROP 二、作物生长发育状况本周，新疆北疆、甘肃东部冬小麦处于开花灌浆期，华北中部、山东半岛和陕西关中部分地区处于乳熟期，华北南部、黄淮东部、江淮东部处于成熟收获期
ACTV 河南、安徽小麦收获完毕
CROP 华南双季早稻大部处于抽穗扬花期，海南早稻处于乳熟至成熟期
CROP 江南、华南北部处于拔节至抽穗期
CROP 苗情监测结果表明，全国双季早稻一、二类苗占比分别为18%、79%
CROP 东北地区一季稻处于返青分蘖期，局地仍处于移栽期
CROP 江汉、江淮大部处于三叶至返青期
CROP 西南大部一季稻处于返青至分蘖期，部分地区进入拔节期
CROP 全国一季稻一、二类苗占比分别为27%、73%，均比上周提高1%
CROP 西南地区东部春玉米处于拔节至吐丝期
CROP 广西玉米处于吐丝至乳熟期
CROP 东北地区、华北处于三叶至七叶期
CROP 西北地区大部处于七叶至拔节期
CROP 新疆棉花处于第五真叶至现蕾期，黄河流域、长江流域棉花处于第三真叶至现蕾期
CROP 东北地区大豆处于出苗至第三真叶期
CROP 江南处于开花结荚期
ACTV 陕西开始播种夏大豆
CROP 西北地区、内蒙古春小麦大部处于拔节至开花期
CROP 黑龙江西部春小麦处于分蘖至拔节期
CROP 华北、黄淮东部、江汉花生处于分枝至开花期
 江南南部、华南处于下针期
ACTV 黄淮西部开始播种夏花生
CROP 西北地区东部、华北北部、内蒙古、东北地区等地马铃薯处于出苗至分枝期
CROP 西南地区大部处于开花期
CROP 西南地区夏玉米处于出苗至七叶期，部分开始拔节
 黄淮、西北地区东部处于播种期
ENV 三、土壤墒情分析6月13日20厘米土壤墒情监测结果表明（图4）：内蒙古中部、陕西中北部、山西、河北中南部、河南西北部、云南北部等地土壤处于缺墒状态
ENV 湖南大部、江西南部、广东、福建大部、广西西部、四川盆地大部等地土壤处于过湿状态，其余测墒区大部土壤墒情基本适宜
ENV 本周土壤缺墒站点比例较上周减少6.6个百分点，较上年同期多0.3个百分点
ENV 过湿站点比例较上周增加4.3个百分点，较上年同期多2.2个百分点
ENV 墒情适宜站点比例较上周增加2.4个百分点，较上年同期少2.5个百分点（表1）
WE 江南、华南：周内，江南和华南大部多次出现暴雨或大暴雨，累计雨量有50～250毫米，湖南郴州和永州，江西吉安、赣州、抚州和上饶，浙江衢州，福建南平、三明和龙岩，广东广州、河源、韶关、梅州、惠州、中山,广西桂林等地部分地区达300-450毫米
WE 湖南本周降水量为1981年以来同期最多，江西为次多
CROP 暴雨造成部分地区稻田被淹，处于果实膨大期的李、桃等果树落果
CROP 华南部分处于扬花期的早稻出现“雨打禾花”现象，对授粉结实不利
WE 云南中西部降水仍偏少，农业干旱持续
WE 风雹：周内，西北地区、华北、黄淮等地局地风雹灾害多发
 新疆棉花、果树，青海青稞、油菜及山东瓜田、果园等受灾（图5）
ACTV 截至6月13日，全国冬小麦已收获2.66亿亩，麦收进度近8成
ACTV 其中，四川、湖北、河南、安徽收获完毕，江苏、陕西过8成，山西、山东过6成，河北过5成
 夏玉米机播面积近1.1亿亩，水稻栽插面积4788万亩
WE 15-16日，西北地区东部将有一次降水过程，雨量不大，对夏收影响较小
WE 七、未来一周天气及关注重点预计未来一周，南方多强降水，主降雨区将位于汉水下游、江淮南部、江南、华南及四川盆地、贵州等地
WE 其中，江南、华南北部及四川盆地东南部、贵州等地降水量较常年同期明显偏多
WE 预计15-18日，云南多阵雨天气，雨量分布不均
WE 21-22日，云南将出现较强降雨过程，中西部旱情有望得到缓和
 
ACTV 八、农业生产建议全国夏收进入收尾阶段，各地要加快收获进度并及时晾晒
ACTV 云南中西部旱情较重的地区，宜抓住降水的有利时机，查苗补缺
ACTV 灌溉条件差的山区、半山区可采取浅中耕、使用保水剂等有效措施进行抗旱
WE 预计未来一周，江南、华南和西南地区等地仍多强降水过程，将加重部分地区渍涝灾害
WE 一、主要天气特点本周，内蒙古中部、华北南部、黄淮北部、西南地区西部和南部等地气温偏高1～4℃，东北大部、安徽和湖北南部、江南北部、四川盆地等地偏低1～4℃（图1），全国其余大部地区接近常年同期
WE 东北地区、内蒙古中部、华北北部、西北地区东部和长江流域及其以南大部降水量有10～100毫米，其中长江中下游沿江及广东、广西部分地区有100～250毫米（图2），上述大部地区降雨量接近常年同期或偏多5成至2倍
 西北地区东部、黄淮南部、江淮、江汉、江南东北部、西南地区东北部和南部日照时数较常年同期偏少2～9成，全国其余大部农区正常或偏多2～8成（图3）
CROP 新疆北疆、甘肃东部处于开花灌浆期，部分进入成熟收获期
CROP 华南双季早稻大部处于抽穗至乳熟期
CROP 江南、华南北部处于孕穗抽穗期
CROP 苗情监测结果表明，全国一、二类苗占比分别为21%、76%一类苗增加了3个百分点，二类苗减少了3个百分点;
CROP 东北地区一季稻处于返青分蘖期
CROP 江淮、江汉大部处于三叶至分蘖期
CROP 西南大部处于分蘖拔节期，局地进入孕穗抽穗期
CROP 全国一、二类苗占比分别为27%、71%二类苗减少了2个百分点;
CROP 西南地区东部春玉米处于拔节至吐丝期
CROP 广西处于吐丝至乳熟期
 东北地区、华北处于三叶至拔节期
CROP 西北地区大部处于七叶至拔节期
CROP 新疆棉花大部处于现蕾期，部分进入开花期
CROP 黄河流域、长江流域处于第三真叶至现蕾期
CROP 东北地区大豆处于出苗至第三真叶期
CROP 江南处于开花结荚期
CROP 陕西南部开始播种夏大豆，陕北处于分枝期
CROP 黄淮夏大豆处于播种至三叶期
CROP 西北地区、内蒙古、黑龙江春小麦大部处于拔节至开花期
CROP 华北、黄淮东部、江汉花生处于分枝至开花期，部分进入下针期
CROP 黄淮西部夏花生处于播种出苗阶段
 江南、华南处于下针期
CROP 西北地区东部、华北北部、内蒙古、东北地区等地马铃薯处于出苗至花序形成期，部分进入开花期
CROP 西南地区大部处于开花期
CROP 西南地区夏玉米处于三叶至拔节期
CROP 黄淮、西北地区东部处于播种出苗至三叶期
ENV 三、土壤墒情分析6月19日20厘米土壤墒情监测结果表明（图4）：辽宁西部、内蒙古中部、陕西中北部、山西、河北中南部、河南西北部、云南北部等地土壤处于缺墒状态
ENV 安徽南部、湖北西部、湖南、江西南部、广东、广西西部、四川盆地大部、贵州南部和云南东部等地处于过湿状态，其余测墒区大部土壤墒情适宜
ENV 本周土壤缺墒站点比例较上周减少0.7个百分点，较上年同期多1.7个百分点
ENV 过湿站点比例较上周增加0.9个百分点，较上年同期多1.6个百分点
ENV 墒情适宜站点比例较上周减少0.2个百分点，较上年同期少3.3个百分点（表1）
DIS_PEST 同时，适温高湿的环境利于病虫害的发生发展
WE 五、主要农业气象灾害监测与影响评估暴雨、洪涝：本周，吉林、江西、湖南、广西、四川、贵州和云南等省多地遭受暴雨洪涝灾害，导致部分水稻、玉米等作物和蔬菜被淹
WE 大风、冰雹：周内，黑龙江、吉林、辽宁、河北、山东、新疆、贵州、云南等地部分地区出现大风、冰雹灾害，造成玉米、棉花、果树等受灾
ACTV 夏播区要根据土壤墒情，及时趁墒或造墒播种夏玉米、夏大豆等作物
ACTV 已播地区及时查苗、补苗，确保苗齐、苗壮
WE 一、主要天气特点本周，内蒙古中东部、东北地区西部、华北中东部、山东西部、西南地区西部和南部等地气温偏高1～4℃，新疆北疆西部和南疆、西北地区东部、内蒙古西部、江南东部等地偏低1～4℃，全国其余大部地区气温接近常年（图1）
WE 东北地区北部、内蒙古大部、西北地区东部、黄淮西部、四川盆地、江汉北部等地降水量有10～50毫米，长江以南大部有50～100毫米，其中江西中部、浙江和福建大部、广东中部等地有100～250毫米（图2）
WE 东北地区中南部、华北大部、黄淮东部降水量不足10毫米或无降水，较常年同期偏少8成以上
WE 西北地区大部、华北西部、黄淮西部、江南和华南大部、西南地区东部日照时数较常年同期偏少2～9成，全国其余大部农区正常或偏多2～8成（图3）
CROP 苗情监测结果表明，全国早稻一、二类苗占比分别为19%、81%一类苗减少了2个百分点，二类苗增加了5个百分点;
CROP 东北地区一季稻处于分蘖期
CROP 江淮、江汉大部处于返青至分蘖期
CROP 西南地区大部处于分蘖拔节期，部分进入孕穗抽穗期
CROP 苗情监测结果表明，全国一季稻一、二类苗占比分别为26%、72%一类苗减少了1个百分点，二类苗增加了1个百分点;
CROP 东北地区、华北、西北地区大部春玉米处于七叶至拔节期
CROP 西南地区东部处于拔节至吐丝期
CROP 广西处于吐丝至乳熟期，局部成熟收获
CROP 苗情监测结果表明，全国春玉米一、二类苗占比分别为32%、67%一类苗减少了3个百分点，二类苗增加了3个百分点;
CROP 新疆棉花处于现蕾开花期
CROP 黄河流域、长江流域大部处于第五真叶至现蕾期，部分进入开花期
CROP 东北地区大豆处于第三真叶至分枝期
CROP 江南处于结荚鼓粒期
CROP 西北地区东部、黄淮夏大豆处于播种出苗至分枝期
CROP 西北地区、内蒙古、黑龙江春小麦大部处于孕穗至乳熟期
CROP 华北、黄淮东部、江汉、江南、华南花生处于下针期，华南南部进入成熟阶段
CROP 黄淮西部夏花生处于第三真叶至分枝期
CROP 西北地区东部、华北北部、内蒙古、东北地区、西南地区大部马铃薯处于出苗分枝至开花期，西南部分地区已收获
CROP 华北、黄淮、西北地区东部夏玉米处于播种出苗至七叶期
CROP 西南地区处于三叶至抽雄开花期
ENV 三、土壤墒情分析6月26日20厘米土壤墒情监测结果表明（图4）：辽宁西部和中部、内蒙古中部、陕西北部、山西和河北大部、云南中部等地土壤处于缺墒状态
ENV 安徽西部和东南部、湖北西部、浙江中南部、湖南、江西南部、福建大部、广东、广西西部和东部部分地区、四川盆地大部、贵州东部和南部、云南东部等地处于过湿状态，其余测墒区大部土壤墒情适宜
ENV 本周土壤缺墒站点比例较上周减少2.0个百分点，较上年同期多3.6个百分点
ENV 过湿站点比例较上周增加2.7个百分点，较上年同期少1.6个百分点
ENV 墒情适宜站点比例较上周减少0.7个百分点，较上年同期少2.0个百分点（表1）
WE 西北、华北、黄淮：周内，华北、黄淮中东部光温充足
DIS_PEST 适温高湿的环境易诱发病虫害的发生发展
 五、主要农业气象灾害监测与影响评估暴雨、洪涝：本周，新疆、甘肃、湖北、江西、湖南、福建、广东、广西、四川、贵州、重庆和云南等省多地遭受暴雨洪涝灾害，部分低洼处农田、设施农业等受淹、被冲毁
WE 大风、冰雹：周内，新疆、甘肃、内蒙古、宁夏、青海、四川和云南等地部分地区出现大风、冰雹灾害，造成玉米、棉花、烤烟、蔬菜等受灾
ACTV 七、农业生产建议北方地区关注墒情变化，做好田间分类管理
ACTV 夏播区要根据土壤墒情，未播地区及时趁墒或造墒播种玉米、大豆等作物
ACTV 已播地区及时查苗补种，确保苗齐苗壮
WE 一、主要天气特点本周，东北地区中北部、内蒙古中部和东北部、陕西南部等地气温较常年同期偏低1～4℃，全国其余大部地区气温接近常年或偏高（图1）
WE 全国大部农区出现降水，但分布不匀（图2）
WE 东北地区大部降水量有25～100毫米，北部较常年同期偏多8成至1倍
WE 华北中部、四川盆地中部等地降水量不足5毫米或无有效降水，较常年同期偏少8成以上
WE 东北地区中北部、江淮东部、江南西南部和东北部等地日照时数较常年同期偏少2～8成，其中东北地区北部雨日有4～7天
 全国其余大部农区正常或偏多2～5成（图3）
CROP 二、作物生长发育状况本周，江南双季早稻大部处于抽穗至乳熟期，华南处于乳熟成熟期，海南已成熟收获
CROP 苗情监测结果表明，全国早稻一、二类苗占比分别为14%、86%一类苗减少了5个百分点，二类苗增加了5个百分点;
CROP 东北地区、江淮、江汉大部一季稻处于分蘖期
CROP 西南地区大部处于分蘖拔节期，部分已孕穗抽穗
CROP 苗情监测结果表明，全国一季稻一、二类苗占比分别为25%、72%一类苗减少了1个百分点，二类苗持平;
CROP 东北地区、华北、西北地区大部春玉米处于七叶至拔节期
CROP 西南地区东部处于拔节至吐丝期，部分进入乳熟期
CROP 广西处于乳熟期，部分地区成熟收获
CROP 苗情监测结果表明，全国春玉米一、二类苗占比分别为31%、69%一类苗减少了1个百分点，二类苗增加了2个百分点;
CROP 新疆棉花处于现蕾至开花盛期
CROP 黄河流域、长江流域大部处于第五真叶至现蕾开花期，部分进入开花盛期
CROP 东北地区大豆处于第三真叶至分枝期，部分已开花
CROP 江南处于结荚鼓粒期
CROP 西北地区东部、黄淮夏大豆处于出苗至分枝期
CROP 西北地区、内蒙古、黑龙江春小麦大部处于孕穗至乳熟期
CROP 华北、黄淮东部、江汉、江南、华南花生处于下针期，华南南部成熟收获
CROP 黄淮西部夏花生处于分枝期
CROP 西北地区东部、华北北部、内蒙古、东北地区、西南地区大部马铃薯处于分枝至开花期，西南部分地区已收获
CROP 华北、黄淮、西北地区东部夏玉米处于播种出苗至七叶期
CROP 西南地区处于三叶至抽雄开花期
